symbol,horizon_bars,sample_count,avg_gross_return_pct,median_gross_return_pct,gross_win_rate_pct,avg_net_return_pct,median_net_return_pct,net_win_rate_pct
LLY,4,79,-0.11797509521280047,-0.045625641610586874,46.835443037974684,-0.12982506883987843,-0.05712836354304045,46.835443037974684
LLY,8,79,-0.5213626748843729,-0.27698553405792026,37.9746835443038,-0.533193083623389,-0.28924852907171045,37.9746835443038
MSFT,1,48,0.012446444643388989,0.04400946188558999,56.25,-0.014798791364487113,0.015423520619970077,52.083333333333336
MSFT,2,48,-0.03145163827581638,0.048286904413935725,56.25,-0.05869168468664938,0.02148946491496986,56.25
MSFT,4,48,0.10212354516277877,0.06662751128677134,60.416666666666664,0.07486441668401865,0.03925765676886499,56.25
MSFT,8,48,0.000788285180682456,-0.051485420952028293,43.75,-0.026458386273734657,-0.0768788743609207,43.75
QCOM,1,69,0.02569349872949465,0.014670823399970829,52.17391304347826,-0.049627486549907784,-0.060661778185158256,42.028985507246375
QCOM,2,69,0.03544834312327135,0.08426535927686046,52.17391304347826,-0.03987740601430688,0.005657554177184921,50.72463768115942
QCOM,4,69,0.02815536499988651,0.015886632986990286,50.72463768115942,-0.04716669363040907,-0.049644760664511976,46.3768115942029
QCOM,8,69,-0.1494382431113543,-0.26038879971464884,40.57971014492754,-0.22469519255175735,-0.3336099126404179,34.78260869565217
TSLA,1,73,-0.053577195308552886,-0.02049360306818315,47.94520547945205,-0.08070710227398772,-0.048668395125741885,47.94520547945205
TSLA,2,73,-0.01896666506946545,0.07420706163973723,52.054794520547944,-0.04610103575443229,0.04826328386786827,50.68493150684932
TSLA,4,73,-0.0748232633899834,-0.23278069472104523,38.35616438356164,-0.10195011544537798,-0.26061177200786007,36.986301369863014
TSLA,8,73,-0.13200002969292132,-0.20139950605668655,42.465753424657535,-0.15911895948096003,-0.23276696945646339,42.465753424657535
WFC,1,30,-0.01628686496135103,-0.01313962075049969,50.0,-0.14009719429889894,-0.14056034728375835,36.666666666666664
WFC,2,30,-0.14150046635944807,-0.08119117032457157,43.333333333333336,-0.2652374400818796,-0.20895481206012506,33.33333333333333
WFC,4,30,-0.1481215732706581,0.00743189481818274,50.0,-0.27185829355071894,-0.11645800355638017,40.0
WFC,8,30,-0.22951844317627076,-0.04389815627743801,43.333333333333336,-0.3532091289136735,-0.16763622753022106,40.0
XOM,1,39,0.0492347465302263,0.052372150338866004,56.41025641025641,-0.01662305672820256,-0.011239297813392567,48.717948717948715
XOM,2,39,0.12179341956438829,0.15573291804553935,56.41025641025641,0.055913091624076434,0.0849861200408327,51.28205128205128
XOM,4,39,-0.028591470389462106,0.11215652065547908,61.53846153846154,-0.09442429895607293,0.04783181761551986,56.41025641025641
XOM,8,38,-0.5386110047703587,0.08067125685649433,57.89473684210527,-0.6042320636189871,0.01411655492520367,50.0
