symbol,side,price,shares,timestamp,entry_branch,pnl,holding_bars,exit_reason,research_exit_fill
AMD,BUY,225.32000000000002,4.438132433871826,2026-04-06 13:45:00+00:00,,,,,
AMD,SELL,220.29,4.438132433871826,2026-04-06 14:30:00+00:00,,-22.343806142375456,4.0,momentum_breakout_fixed_bars_exit,next_open
C,BUY,123.935,8.06874571347884,2026-04-08 13:45:00+00:00,,,,,
JPM,BUY,309.05,3.2357223750202233,2026-04-08 13:45:00+00:00,,,,,
JPM,SELL,307.5,3.2357223750202233,2026-04-08 14:30:00+00:00,,-5.035369681281281,4.0,momentum_breakout_fixed_bars_exit,next_open
C,SELL,123.12,8.06874571347884,2026-04-08 14:30:00+00:00,,-6.596027756485114,4.0,momentum_breakout_fixed_bars_exit,next_open
AMD,BUY,235.375,4.248539564524695,2026-04-09 13:45:00+00:00,,,,,
HON,BUY,233.25500000000002,4.287153544404193,2026-04-09 14:00:00+00:00,,,,,
AMD,SELL,232.20999999999998,4.248539564524695,2026-04-09 14:30:00+00:00,,-13.466627721720783,4.0,momentum_breakout_fixed_bars_exit,next_open
HON,SELL,232.51,4.287153544404193,2026-04-09 14:45:00+00:00,,-3.213929390581143,4.0,momentum_breakout_fixed_bars_exit,next_open
AMD,BUY,245.87,4.067189978443893,2026-04-10 13:45:00+00:00,,,,,
AMD,SELL,246.2,4.067189978443893,2026-04-10 14:30:00+00:00,,1.3221726928863973,4.0,momentum_breakout_fixed_bars_exit,next_open
