regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,trend_pullback_exit_style,trend_pullback_hold_bars,trend_pullback_take_profit_pct,trend_pullback_research_exit_fill,momentum_breakout_lookback_bars,momentum_breakout_entry_buffer_pct,momentum_breakout_min_adx,momentum_breakout_min_slope,momentum_breakout_min_atr_percentile,momentum_breakout_exit_style,momentum_breakout_hold_bars,momentum_breakout_stop_pct,momentum_breakout_take_profit_pct,volatility_expansion_lookback_bars,volatility_expansion_entry_buffer_pct,volatility_expansion_max_atr_percentile,volatility_expansion_trend_filter,volatility_expansion_min_slope,volatility_expansion_use_volume_confirm,volatility_expansion_exit_style,volatility_expansion_hold_bars,volatility_expansion_stop_pct,volatility_expansion_take_profit_pct,ml_probability_buy,ml_probability_sell,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_model_load_seconds,timing_ml_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds,rank_return,rank_pf,rank_drawdown,combined_score
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.256407540456494,3.361970952738369,110,64,9,12,10,98.1818181818182,8.155877983245771,-14.776657049614528,7.738922800830129,-14.776657049614528,0.7738922800830129,0.7738922800830129,29.80494232332208,3.469976371233587,5.5,96.41963389630516,425.6407540456571,10425.64075404565,10425.64075404565,10000.0,1000.0,0.0119390000472776,1.3444530999986457,2.00001522898674e-07,1.1700030881911516e-05,1.6783981999615207,0.0010287000332027,3.035849300038535,138.0,8.0,275.0,140.33333333333334
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.363528735732689,3.407465648833546,122,71,10,11,10,98.36065573770492,7.518825510381599,-14.776657049614528,7.153325796283301,-14.776657049614528,0.7153325796283302,0.7153325796283302,30.52987757029012,3.5298122136831247,6.1,97.065376923896,436.3528735732814,10436.352873573269,10436.352873573269,10000.0,1000.0,0.0158225999912247,1.3216343999956734,2.00001522898674e-07,1.1299969628453256e-05,1.7562142999959178,0.0010782000026665,3.094778899976518,120.0,6.0,302.0,142.66666666666666
Custom,,,mean_reversion,morning_only,False,static_pct,0.003,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.883300852878547,3.5214924359686552,126,83,20,21,10,98.4126984126984,8.677045642763215,-49.64674456345347,7.751271195045489,-49.64674456345347,0.7751271195045489,0.7751271195045489,10.836094784900377,3.7749590346116895,6.3,101.46292415791756,488.3300852878658,10488.330085287856,10488.330085287856,10000.0,1000.0,0.0101467000204138,1.0341111999587156,6.00004568696022e-07,1.6200006939470768e-05,1.4944073999649845,0.0010850999969989,2.539785699977074,55.0,28.0,345.0,142.66666666666666
Custom,,,mean_reversion,morning_only,False,static_pct,0.001,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.36830734903464,3.406825091526877,134,78,11,12,10,94.02985074626866,7.19052985104364,-4.043161428067606,6.519861714977297,-15.009597125023788,0.6519861714977296,0.6519861714977296,28.01046833493972,3.530149362895155,6.7,97.14224305732702,436.83073490347886,10436.830734903464,10436.830734903464,10000.0,1000.0,0.0102508999989368,1.0759950000210663,1.9994331523776054e-07,1.1200027074664831e-05,1.498697999981232,0.001123100053519,2.58609640004579,118.0,10.0,300.0,142.66666666666666
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,20,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.137824379313079,3.306207991469684,122,71,10,11,10,96.72131147540983,7.315733480940976,-8.922918722098814,6.783318654611802,-15.009597125023788,0.6783318654611802,0.6783318654611802,24.186495967207,3.441594184527064,6.1,94.54617663984754,413.7824379313199,10413.782437931308,10413.782437931308,10000.0,1000.0,0.0142411999986507,1.6167985000065528,2.00001522898674e-07,1.2999982573091984e-05,2.105785800027661,0.0023688999935984,3.739229900005739,167.0,11.0,252.0,143.33333333333334
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,50.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.391537799088619,3.387170413651873,132,79,13,16,10,98.48484848484848,7.520008068805018,-49.64674456345347,6.653845150134435,-49.64674456345347,0.6653845150134434,0.6653845150134434,9.84557051565769,3.528992337250718,6.6,97.9365738563147,439.1537799088727,10439.153779908862,10439.153779908862,10000.0,1000.0,0.0172345000319182,1.1560844000196084,3.00002284348011e-07,1.2100033927708864e-05,1.6456292999791913,0.0011287999805063,2.8201070999493822,117.0,31.0,285.0,144.33333333333334
Custom,,,mean_reversion,morning_only,False,static_pct,0.003,1.0,0.0,20,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.119106861003056,3.303010587221311,114,64,7,13,10,96.49122807017544,7.813754973536648,-8.922918722098814,7.226503264917859,-15.009597125023788,0.722650326491786,0.722650326491786,24.08161146196286,3.4319576760706543,5.7,94.39790808779196,411.910686100318,10411.910686100306,10411.910686100306,10000.0,1000.0,0.0102277999976649,1.1021303000161424,2.00001522898674e-07,1.1999974958598614e-05,1.5098071999964304,0.001017700007651,2.6232145000249147,171.0,12.0,250.0,144.33333333333334
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.352836955692947,3.406825091526877,130,76,11,11,10,93.84615384615384,7.394693340584291,-3.948149551583015,6.696672239527841,-15.009597125023788,0.6696672239527841,0.6696672239527841,28.562513139527745,3.52078347645136,6.5,97.08507840618,435.28369556930966,10435.283695569296,10435.283695569296,10000.0,1000.0,0.0093290000222623,1.3683835999690928,2.00001522898674e-07,1.2699980288743973e-05,1.9654168999986723,0.0017144000157713,3.3448771000257693,125.0,9.0,300.0,144.66666666666666
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,20,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.173245772638747,3.329316441786621,136,78,10,13,10,94.11764705882352,6.879219836139995,-5.736373062268314,6.137126136233625,-19.20685406219843,0.6137126136233624,0.6137126136233624,19.1876497890666,3.458012831779048,6.8,94.8658758207912,417.32457726388645,10417.324577263877,10417.324577263877,10000.0,1000.0,0.0099750999943353,1.0894979999866337,2.00001522898674e-07,1.090002479031682e-05,3.1500442000105977,0.001342499977909,4.250890599971172,158.0,19.0,261.0,146.0
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,20,none,target_1x_stop_low,0.5,midpoint,40.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,4.099383527202208,3.303010587221311,116,67,9,14,10,96.55172413793105,7.639003395793409,-8.922918722098814,7.067902633107471,-15.009597125023788,0.7067902633107471,0.7067902633107471,23.97109082171541,3.421063770992136,5.8,94.25637012514792,409.9383527202333,10409.93835272022,10409.93835272022,10000.0,1000.0,0.0190687000285834,1.184351300005801,2.00001522898674e-07,1.1100026313215494e-05,1.6331623999867588,0.0010531999869272,2.837666800012812,176.0,13.0,250.0,146.33333333333334
