regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,trend_pullback_exit_style,trend_pullback_hold_bars,trend_pullback_take_profit_pct,trend_pullback_research_exit_fill,momentum_breakout_lookback_bars,momentum_breakout_entry_buffer_pct,momentum_breakout_min_adx,momentum_breakout_min_slope,momentum_breakout_min_atr_percentile,momentum_breakout_exit_style,momentum_breakout_hold_bars,momentum_breakout_stop_pct,momentum_breakout_take_profit_pct,volatility_expansion_lookback_bars,volatility_expansion_entry_buffer_pct,volatility_expansion_max_atr_percentile,volatility_expansion_trend_filter,volatility_expansion_min_slope,volatility_expansion_use_volume_confirm,volatility_expansion_exit_style,volatility_expansion_hold_bars,volatility_expansion_stop_pct,volatility_expansion_take_profit_pct,ml_probability_buy,ml_probability_sell,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_model_load_seconds,timing_ml_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds
Custom,,,mean_reversion,full_day,False,static_pct,0.001,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.320905417544655,4.945281359048019,314,348,191,87,10,88.53503184713377,6.117322817015884,-17.67874054504007,3.389111730920297,-120.4324962086747,0.33891117309202967,0.33891117309202967,2.672097940332097,3.6288732708766087,15.7,116.55629946938517,532.0905417544866,10532.090541754465,10532.090541754465,10000.0,1000.0,0.009945600002538413,1.0312237999751233,3.00002284348011e-07,1.109996810555458e-05,1.5333985000033863,0.001705500006210059,2.5763038999866694
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,10,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.3073233360184355,4.828592093256303,204,129,27,28,10,95.09803921568627,6.554064947749047,-21.002393265958812,5.203258172567289,-49.64674456345347,0.5203258172567289,0.5203258172567289,6.054017671996337,3.637589380772444,10.2,114.23411868517879,530.7323336018635,10530.732333601843,10530.732333601843,10000.0,1000.0,0.010584800038486719,1.534202299953904,3.00002284348011e-07,1.1299969628453255e-05,2.0645521000260487,0.0014389000134542584,3.6108096000389196
Custom,,,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.2787105984314255,4.97516577319238,266,249,116,59,10,90.97744360902256,6.579330555944206,-22.352328118840347,3.968955337166652,-118.8958070641853,0.3968955337166652,0.3968955337166652,2.967994329407356,3.590261761917725,13.3,116.85612696447095,527.8710598431647,10527.871059843143,10527.871059843143,10000.0,1000.0,0.011063399957492948,1.1470876000239514,2.00001522898674e-07,1.160003012046218e-05,2.1783370000193827,0.002382499980740249,3.3389009999809787
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,70.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.269679535554223,4.733666121527942,154,103,26,29,10,96.1038961038961,8.402602021365752,-31.608198675210435,6.843739656564082,-49.64674456345347,0.6843739656564082,0.6843739656564082,6.557291838216676,3.526177726566554,7.7,117.25606143078078,526.9679535554343,10526.967953555422,10526.967953555422,10000.0,1000.0,0.01084539998555556,1.587800600042101,2.00001522898674e-07,1.1500029359012842e-05,1.6058915000176057,0.0012218999909237027,3.20578940003179
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.25552389291679,3.4651846708187843,146,89,16,21,10,98.63013698630137,7.988876859099237,-49.64674456345347,7.199347798516324,-49.64674456345347,0.7199347798516323,0.7199347798516323,11.585837881474454,4.012374191368467,7.3,102.53340635783852,525.5523892916916,10525.552389291679,10525.552389291679,10000.0,1000.0,0.010565700009465218,1.032882299972698,2.00001522898674e-07,1.079996582120657e-05,1.4751842999830842,0.001046599994879216,2.5197080000070855
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.242577180483586,4.757624062370914,170,112,27,30,10,95.29411764705881,8.285507002206733,-36.71708728259287,6.167737859392634,-49.64674456345347,0.6167737859392635,0.6167737859392635,4.569575889921681,3.4839257301842785,8.5,118.02979499219451,524.2577180483739,10524.257718048359,10524.257718048359,10000.0,1000.0,0.009914299997035414,1.0348773999721743,3.00002284348011e-07,1.1000025551766157e-05,1.4748005000292324,0.0016491999849677086,2.5212721999851055
Custom,,,mean_reversion,full_day,False,static_pct,0.003,1.0,0.0,15,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.241959111149463,4.308037806197155,294,281,134,66,10,91.15646258503402,6.264793400782424,-24.25280035306773,3.565958579013363,-120.4324962086747,0.3565958579013363,0.3565958579013363,2.6626023307184146,3.773869676593978,14.7,110.41728770297324,524.1959111149644,10524.195911114946,10524.195911114946,10000.0,1000.0,0.012238299997989088,1.1221682999748737,3.00002284348011e-07,1.3199984095990658e-05,1.617398000031244,0.0017048000008799136,2.7535425000241958
Custom,,,mean_reversion,full_day,False,static_pct,0.0015,1.0,0.0,25,none,target_1x_stop_low,0.5,midpoint,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.241686476447721,4.978236149120392,286,279,136,70,10,88.81118881118881,6.275447836028039,-17.05082672067295,3.6655150184950602,-120.96574113367694,0.366551501849506,0.366551501849506,2.9213461619476613,3.5674623342693006,14.3,116.8092351397389,524.1686476447936,10524.168647644772,10524.168647644772,10000.0,1000.0,0.010898099979385734,1.3771476999972947,3.00002284348011e-07,1.3000040780752897e-05,1.6585412999847904,0.001921400020364672,3.0485431000124663
Custom,,,mean_reversion,full_day,False,static_pct,0.001,1.0,0.0,15,none,target_1x_stop_low,0.5,midpoint,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.236986984763116,4.790744861860668,396,459,261,128,10,90.9090909090909,4.683054632125477,-17.736174183680443,2.6449429215976656,-123.35736396614277,0.26449429215976655,0.26449429215976655,2.640397294042414,3.534872372129582,19.8,117.64155284358503,523.6986984763378,10523.698698476312,10523.698698476312,10000.0,1000.0,0.011484500020742416,1.0361392999766394,2.00001522898674e-07,1.0599964298307896e-05,1.4650157999712974,0.0020981000270694494,2.514766900043469
Custom,,,mean_reversion,morning_only,False,static_pct,0.003,1.0,0.0,30,none,target_1x_stop_low,0.5,midpoint,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,5.223189176704709,4.743955495643107,154,103,26,28,10,94.8051948051948,9.1669488602857,-36.71708728259287,6.783362567149151,-49.64674456345347,0.6783362567149152,0.6783362567149152,4.556374949151466,3.4938986822950926,7.7,117.49527126150087,522.3189176704847,10522.318917670471,10522.318917670471,10000.0,1000.0,0.013189500023145229,1.1407377999858,3.00002284348011e-07,1.1400028597563505e-05,1.533882200019434,0.0013206999865360558,2.689160500012804
