regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size
Custom,,,sma,afternoon_only,False,static_pct,0.01,1.0,0.0,20,-0.03654489273994841,0.2351951255807094,10,5,0,0,2,20.0,9.398650310100834,-3.263284896023606,-0.0730897854798718,-0.0730897854798718,0.7200298632792775,-0.554324350444499,0.5,5.193948815816493,-3.6544892739935904,9996.345510726005,9996.345510726005,10000.0,1000.0
Custom,,,sma,morning_only,False,atr_multiple,0.0,2.0,0.0,20,-0.04291421492895097,0.4828418753020257,32,16,0,3,3,31.25,13.244240268628232,-6.410238439639546,-0.02682138433058654,-0.02682138433058654,0.9391396700293959,-0.3174406385070692,1.6,10.447722606938859,-4.291421492893846,9995.708578507105,9995.708578507105,10000.0,1000.0
Custom,,,sma,morning_only,False,static_pct,0.005,1.0,0.0,20,-0.043942861981395256,0.549937131717529,42,21,0,5,3,33.33333333333333,9.891008185305022,-5.259381678233718,-0.02092517237208053,-0.02092517237208053,0.9403204397809328,-0.35815475596150614,2.1,9.516786237622325,-4.394286198136911,9995.60571380186,9995.60571380186,10000.0,1000.0
Custom,,,sma,full_day,False,atr_multiple,0.0,2.0,0.0,20,-0.05707257171070523,0.592043416878044,52,26,0,1,3,26.923076923076923,13.5608756379938,-5.296494033527982,-0.021950989119519503,-0.021950989119519503,0.9432866431131824,-0.3438466566251355,2.6,12.792701363405898,-5.707257171075071,9994.29274282893,9994.29274282893,10000.0,1000.0
Custom,,,sma,afternoon_only,False,atr_multiple,0.0,2.0,0.0,20,-0.08305268364112635,0.38001843438438554,28,14,0,0,2,21.428571428571427,10.336783934729207,-3.5741472880277403,-0.05932334545798231,-0.05932334545798231,0.788753977972019,-0.8300698108311301,1.4,7.890415472506974,-8.305268364117524,9991.694731635887,9991.694731635887,10000.0,1000.0
Custom,,,sma,afternoon_only,False,atr_multiple,0.0,1.5,0.0,20,-0.09560269092900853,0.44249944134819214,42,21,0,0,3,23.809523809523807,10.920665929467578,-4.010224921265099,-0.04552509091858902,-0.04552509091858902,0.8510016694729473,-0.6149713904889242,2.1,12.169746170502977,-9.560269092903695,9990.4397309071,9990.4397309071,10000.0,1000.0
Custom,,,sma,morning_only,False,static_pct,0.01,1.0,0.0,20,-0.09955764830783663,0.4145432186504149,28,14,0,0,3,35.714285714285715,12.06199969780955,-7.807307035536572,-0.07111260593415279,-0.07111260593415279,0.8583127207276513,-0.7556327304631058,1.4,10.33682147912814,-9.95576483078139,9990.044235169216,9990.044235169216,10000.0,1000.0
Custom,,,sma,full_day,False,static_pct,0.01,1.0,0.0,20,-0.11370977591039264,0.6516567000355462,34,17,0,0,3,35.294117647058826,11.618108133191432,-7.370875126380539,-0.06688810347669018,-0.06688810347669018,0.8597554268896619,-0.7134427435453948,1.7,12.452562546571327,-11.370977591037331,9988.62902240896,9988.62902240896,10000.0,1000.0
Custom,,,sma,combined_windows,False,atr_multiple,0.0,0.5,0.0,20,-0.11704047330316826,0.8070024591138397,98,49,0,4,3,36.734693877551024,9.750731005240418,-6.0392646911174905,-0.023885810878193196,-0.023885810878193196,0.9374841254372546,-0.41981331343164635,4.9,21.302878650746877,-11.704047330314665,9988.295952669683,9988.295952669683,10000.0,1000.0
Custom,,,sma,combined_windows,False,atr_multiple,0.0,1.0,0.0,20,-0.13187097830610583,0.6772377382122899,72,36,0,3,3,36.11111111111111,9.974579685095424,-6.211157988558689,-0.03663082730724814,-0.03663082730724814,0.9076899862074258,-0.5255846810915391,3.6,19.384616266773662,-13.187097830609332,9986.81290216939,9986.81290216939,10000.0,1000.0
Custom,,,sma,full_day,False,atr_multiple,0.0,1.0,0.0,20,-0.2001216439382188,0.6776981864515268,74,37,0,3,3,35.13513513513514,9.81108163563757,-6.148176069046197,-0.05408693079410888,-0.05408693079410888,0.8643760078254877,-0.8090449443604574,3.7,19.297393151551415,-20.012164393820285,9979.987835606178,9979.987835606178,10000.0,1000.0
Custom,,,sma,full_day,False,atr_multiple,0.0,0.5,0.0,20,-0.28727715323979286,0.9103826641153847,108,54,0,4,3,31.48148148148148,10.232956861383226,-5.4780535666890025,-0.05319947282218196,-0.05319947282218196,0.8582663113761447,-1.0781290666596626,5.4,20.848900399373587,-28.72771532397826,9971.27228467602,9971.27228467602,10000.0,1000.0
Custom,,,sma,afternoon_only,False,atr_multiple,0.0,1.0,0.0,20,-0.3542798371783465,0.7255602713519741,52,26,0,4,3,26.923076923076923,10.601364881045567,-5.770396730797822,-0.13626147583784481,-0.13626147583784481,0.6768626475819879,-1.7331267327536595,2.6,16.120895865223712,-35.42798371783965,9964.572016282165,9964.572016282165,10000.0,1000.0
Custom,,,sma,afternoon_only,False,atr_multiple,0.0,0.5,0.0,20,-0.41884289865081886,0.8139847372545748,74,37,0,6,3,24.324324324324326,11.917752382149931,-5.326573618015524,-0.11320078341914945,-0.11320078341914945,0.7191689062322731,-1.8676394352820205,3.7,17.674044083422874,-41.88428986508529,9958.115710134918,9958.115710134918,10000.0,1000.0
