regime,start_date,end_date,strategy_mode,sma_bars,entry_threshold_pct,scope,symbol,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,total_trades
Early2026,2026-01-01,2026-02-28,sma,20,0.005,symbol,AAPL,0.14842662201221174,0.7979264300240272,30.434782608695656,13.360589958030914,-5.536035977446447,46
Early2026,2026-01-01,2026-02-28,sma,20,0.005,symbol,MSFT,2.0740601588219443,0.8277533275876091,45.45454545454545,14.595534038046367,-6.401666812755468,44
Early2026,2026-01-01,2026-02-28,sma,20,0.005,symbol,NVDA,-2.120575493719489,3.024745117629104,28.57142857142857,12.597694368257944,-7.866511738929193,70
Early2026,2026-01-01,2026-02-28,sma,10,0.005,portfolio,COMBINED,-0.06488658724241758,0.6005579259685282,38.04347826086957,9.737184434134248,-6.09280901612171,184
Early2026,2026-01-01,2026-02-28,sma,10,0.005,symbol,AAPL,-0.6621487877129039,1.1222207239458704,32.142857142857146,8.863584941060653,-5.360204775086466,56
Early2026,2026-01-01,2026-02-28,sma,10,0.005,symbol,MSFT,1.1228170825353618,1.304284652395327,42.30769230769231,10.726729096128274,-5.371118931526553,52
Early2026,2026-01-01,2026-02-28,sma,10,0.005,symbol,NVDA,-0.6553280565496697,1.1596132178332983,39.473684210526315,9.535678044516118,-7.168671270408531,76
Early2026,2026-01-01,2026-02-28,sma,100,0.001,portfolio,COMBINED,-0.06635272550403898,1.4167418268259644,20.408163265306122,22.559719278102,-5.954678598241759,98
Early2026,2026-01-01,2026-02-28,sma,100,0.001,symbol,AAPL,-0.05167470369664898,1.6443033067244823,13.636363636363635,31.862241095550775,-5.121537547888094,44
Early2026,2026-01-01,2026-02-28,sma,100,0.001,symbol,MSFT,-0.38642435067512904,0.9431480010748009,16.666666666666664,15.732590826256434,-4.434599334168327,24
Early2026,2026-01-01,2026-02-28,sma,100,0.001,symbol,NVDA,0.23904087785948375,2.2496067025287765,33.33333333333333,19.709057568370962,-9.057725857987151,30
Mar2026,2026-03-01,2026-04-04,sma,20,0.005,portfolio,COMBINED,-0.07009067870319995,1.2347656267108307,27.500000000000004,15.306729264996166,-6.047692751216449,78
Mar2026,2026-03-01,2026-04-04,sma,20,0.005,symbol,AAPL,-0.2848150778518402,0.9798751149217013,18.181818181818183,15.090807440683575,-4.408383423306806,22
Mar2026,2026-03-01,2026-04-04,sma,20,0.005,symbol,MSFT,-0.8655504749316423,1.8591606015406796,21.428571428571427,11.69851850863458,-5.81338527487499,27
