regime,start_date,end_date,strategy_mode,entry_threshold_pct,sma_bars,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,realized_pnl,final_equity,final_cash,starting_capital,position_size
Early2026,2026-01-01,2026-02-28,sma,0.0025,20,-0.5079652360418367,1.375223890684644,222,111,0,5,3,32.432432432432435,11.782411912834615,-6.332844699549625,-50.79652360417577,9949.203476395816,9949.203476395816,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.0025,100,-0.5787280833696422,1.1439499791294474,45,24,0,0,3,25.0,10.21005991619018,-6.618509324117066,-57.8728083369661,9942.127191663036,9942.127191663036,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.001,10,-0.5996501954919403,1.4919763681150122,432,216,0,16,3,32.870370370370374,8.795546394289115,-4.720336645129154,-59.96501954920075,9940.034980450806,9940.034980450806,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.005,20,-0.610153817937371,1.7447439095472563,220,110,0,3,3,34.54545454545455,12.642436341262927,-7.519832816135085,-61.01538179373496,9938.984618206263,9938.984618206263,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.005,100,-0.7067615009157635,1.0939942739651451,35,19,0,0,3,26.31578947368421,8.457133654508471,-8.068701311722931,-70.6761500915787,9929.323849908424,9929.323849908424,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.0025,20,-0.7076471955687157,1.691515069265824,133,68,0,7,3,26.47058823529412,10.297159700096842,-5.1222718831723855,-70.76471955687614,9929.235280443128,9929.235280443128,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.001,20,-0.7517881112275608,1.441116662310102,278,139,0,8,3,30.215827338129497,11.668611032971128,-5.827427572242722,-75.17881112275644,9924.821188877244,9924.821188877244,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.0005,10,-0.764815752940176,1.5501538410223321,498,249,0,20,3,31.32530120481928,8.367978006868244,-4.264233098419571,-76.48157529402408,9923.518424705982,9923.518424705982,10000.0,1000.0
Early2026,2026-01-01,2026-02-28,sma,0.0,10,-0.8737935064290832,1.6413883299121448,572,286,0,27,3,29.72027972027972,8.057380354842623,-3.8420730388284685,-87.3793506428996,9912.620649357092,9912.620649357092,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.0025,50,-0.9457067373932296,1.497445087401176,85,44,0,1,3,27.27272727272727,7.888739749080561,-5.913610960259058,-94.57067373932315,9905.429326260677,9905.429326260677,10000.0,1000.0
