symbol,strategy_mode,signal_ts,entry_ts,signal_hour,time_bucket,month,date,action,reason,hybrid_branch_active,hybrid_regime_branch,mr_signal,price,sma,trend_sma,trend_sma_slope,atr_pct,atr_percentile,volatility_regime,adx,trend_proxy,bullish_regime,priority,entry_open,entry_fill,fwd_4b_gross_pct,fwd_4b_net_pct
AMD,trend_pullback,2026-03-20 09:45:00-04:00,2026-03-20 10:00:00-04:00,09:00,open_30m,2026-03,2026-03-20,BUY,trend_pullback_entry,,,,202.06,202.676,200.46189999999999,0.6327999999999747,0.007692206428107949,78.74493927125506,high_vol,21.32500417277003,mixed,bullish,0.0,202.15,202.20000000000002,-0.5540440267128393,-0.6053630069238466
AMD,trend_pullback,2026-03-20 10:00:00-04:00,2026-03-20 10:15:00-04:00,10:00,open_30m,2026-03,2026-03-20,BUY,trend_pullback_entry,,,,200.81,202.70033333333333,200.50529999999998,0.5024999999999977,0.007740342328293761,78.78787878787878,high_vol,20.270443565272124,mixed,bullish,0.0,201.1,201.15,0.5967180507210428,0.5448555804126273
AMD,trend_pullback,2026-03-23 13:15:00-04:00,2026-03-23 13:30:00-04:00,13:00,midday,2026-03,2026-03-23,BUY,trend_pullback_entry,,,,203.57,205.17766666666665,202.75459999999998,0.30109999999999104,0.007564903656808678,73.87033398821218,high_vol,20.923751927081547,mixed,bullish,0.0,203.67,203.72,0.4173417783669774,0.36615236599253653
AMD,trend_pullback,2026-03-26 09:30:00-04:00,2026-03-26 09:45:00-04:00,09:00,open_30m,2026-03,2026-03-26,BUY,trend_pullback_entry,,,,217.12,219.657,211.8897,1.704499999999996,0.006924979182171069,76.3157894736842,high_vol,45.70093952968733,trend,bullish,0.0,217.14,217.19,-3.357281016855482,-3.4045507620056243
AMD,trend_pullback,2026-03-26 09:45:00-04:00,2026-03-26 10:00:00-04:00,09:00,open_30m,2026-03,2026-03-26,BUY,trend_pullback_entry,,,,215.145,219.43066666666667,212.1726,1.650999999999982,0.00731937239683163,84.24242424242425,high_vol,43.575581328065546,trend,bullish,0.0,215.25,215.3,-3.4099883855981434,-3.4576432884347588
AMD,trend_pullback,2026-03-26 10:00:00-04:00,2026-03-26 10:15:00-04:00,10:00,open_30m,2026-03,2026-03-26,BUY,trend_pullback_entry,,,,213.81,219.14733333333334,212.40439999999998,1.5285999999999547,0.0076441175630274074,89.91935483870968,high_vol,42.21235267595421,trend,bullish,0.0,213.51,213.56,-2.5478900285700896,-2.596118748829372
AMD,trend_pullback,2026-04-01 13:45:00-04:00,2026-04-01 14:00:00-04:00,13:00,afternoon,2026-04,2026-04-01,BUY,trend_pullback_entry,,,,211.5,212.31300000000002,204.1089,1.626100000000008,0.005818887745316469,32.6171875,low_vol,51.04354400540029,trend,bullish,0.0,211.415,211.465,-0.7426152354374067,-0.7917287967275911
AMD,trend_pullback,2026-04-01 14:00:00-04:00,2026-04-01 14:15:00-04:00,14:00,afternoon,2026-04,2026-04-01,BUY,trend_pullback_entry,,,,210.61,212.30433333333335,204.4039,1.5836999999999932,0.005836458673020414,32.358674463937625,low_vol,48.74450534354071,trend,bullish,0.0,210.5,210.55,0.23277909738717772,0.183229161719305
AMD,trend_pullback,2026-04-01 14:15:00-04:00,2026-04-01 14:30:00-04:00,14:00,afternoon,2026-04,2026-04-01,BUY,trend_pullback_entry,,,,209.17,212.20166666666668,204.68290000000002,1.5259000000000071,0.005982767022935139,35.21400778210117,mid_vol,45.40739503559738,trend,bullish,0.0,209.15,209.20000000000002,1.1953143676786995,1.1452275334607862
AMD,trend_pullback,2026-04-01 14:30:00-04:00,2026-04-01 14:45:00-04:00,14:00,afternoon,2026-04,2026-04-01,BUY,trend_pullback_entry,,,,209.8,212.05900000000003,205.0079,1.5326000000000306,0.006034114093842927,36.50485436893204,mid_vol,42.27061021708022,trend,bullish,0.0,209.94,209.99,0.18338572925597357,0.13372074860706107
AMD,trend_pullback,2026-04-01 14:45:00-04:00,2026-04-01 15:00:00-04:00,14:00,afternoon,2026-04,2026-04-01,BUY,trend_pullback_entry,,,,209.845,211.9116666666667,205.3396,1.541499999999985,0.005850387115506067,31.589147286821706,low_vol,39.35788145702857,trend,bullish,0.0,209.97,210.02,0.11906462828023051,0.06942176935530142
AMD,trend_pullback,2026-04-01 15:00:00-04:00,2026-04-01 15:15:00-04:00,15:00,afternoon,2026-04,2026-04-01,BUY,trend_pullback_entry,,,,210.99,211.85566666666668,205.6732,1.564300000000003,0.005824503630941817,32.10831721470019,low_vol,37.232074761080526,trend,bullish,0.0,211.01,211.06,-4.668025212075254,-4.716299251397709
AMD,trend_pullback,2026-04-01 15:30:00-04:00,2026-04-01 15:45:00-04:00,15:00,afternoon,2026-04,2026-04-01,BUY,trend_pullback_entry,,,,210.325,211.61599999999999,206.22990000000001,1.546999999999997,0.0058538202918374275,33.333333333333336,mid_vol,34.27590300170365,trend,bullish,0.0,210.28,210.33,-0.9986684420772277,-1.047975372034432
AMD,trend_pullback,2026-04-02 10:00:00-04:00,2026-04-02 10:15:00-04:00,10:00,open_30m,2026-04,2026-04-02,BUY,trend_pullback_entry,,,,208.18,209.86066666666665,206.72170000000003,0.7361000000000217,0.010328435624541263,99.59758551307847,high_vol,34.14874635296959,trend,bullish,0.0,208.31,208.36,2.7939129182468405,2.7432486081781464
AMD,trend_pullback,2026-04-02 10:15:00-04:00,2026-04-02 10:30:00-04:00,10:00,open_30m,2026-04,2026-04-02,BUY,trend_pullback_entry,,,,209.03,209.56599999999997,206.9181,0.6881999999999948,0.010221450942831507,99.39759036144578,high_vol,33.02161251579439,trend,bullish,0.0,208.98,209.03,2.58637190161738,2.535913218198334
AMD,trend_pullback,2026-04-06 13:15:00-04:00,2026-04-06 13:30:00-04:00,13:00,midday,2026-04,2026-04-06,BUY,trend_pullback_entry,,,,219.73,220.369,215.3033,0.7024000000000115,0.0068915475916985405,65.88235294117646,mid_vol,27.499238677786185,trend,bullish,0.0,219.755,219.805,0.1706445814657232,0.12311089374672975
AMD,trend_pullback,2026-04-06 13:45:00-04:00,2026-04-06 14:00:00-04:00,13:00,afternoon,2026-04,2026-04-06,BUY,trend_pullback_entry,,,,219.54,220.02333333333334,215.6978,0.8135000000000048,0.006376000425350006,53.90625,mid_vol,25.2777074968499,trend,bullish,0.0,219.5,219.55,0.23690205011389986,0.18930038715554928
AMD,trend_pullback,2026-04-06 14:00:00-04:00,2026-04-06 14:15:00-04:00,14:00,afternoon,2026-04,2026-04-06,BUY,trend_pullback_entry,,,,219.49,219.96866666666665,215.8916,0.8701000000000079,0.0061204326698767395,46.00389863547758,mid_vol,24.084523408515064,mixed,bullish,0.0,219.71,219.76000000000002,0.18205816758454585,0.13451255915543925
AMD,trend_pullback,2026-04-08 14:45:00-04:00,2026-04-08 15:00:00-04:00,14:00,afternoon,2026-04,2026-04-08,BUY,trend_pullback_entry,,,,229.97,231.9453333333333,224.03009999999998,1.1982999999999606,0.00610877949954803,57.17054263565891,mid_vol,43.21678429917932,trend,bullish,0.0,229.95,230.0,0.8132202652750617,0.7675652173912908
AMD,trend_pullback,2026-04-08 15:00:00-04:00,2026-04-08 15:15:00-04:00,15:00,afternoon,2026-04,2026-04-08,BUY,trend_pullback_entry,,,,231.05,231.94333333333333,224.2561,1.169099999999986,0.006101916183770924,57.640232108317214,mid_vol,41.40424719142549,trend,bullish,0.0,231.11,231.16000000000003,1.8173164294059057,1.7716632635403813
AMD,trend_pullback,2026-04-08 15:15:00-04:00,2026-04-08 15:30:00-04:00,15:00,afternoon,2026-04,2026-04-08,BUY,trend_pullback_entry,,,,230.68,231.95733333333334,224.46630000000002,1.1107000000000085,0.005978603800373902,51.93050193050193,mid_vol,39.822316298185875,trend,bullish,0.0,230.69,230.74,1.2484286271619902,1.202819277108415
AMD,trend_pullback,2026-04-08 15:30:00-04:00,2026-04-08 15:45:00-04:00,15:00,afternoon,2026-04,2026-04-08,BUY,trend_pullback_entry,,,,231.13,231.90533333333332,224.7055,1.1034999999999968,0.005716905211264314,43.737957610789984,mid_vol,38.3533804687491,trend,bullish,0.0,231.11,231.16000000000003,0.9259659902211009,0.8805056238103247
AMD,trend_pullback,2026-04-09 13:45:00-04:00,2026-04-09 14:00:00-04:00,13:00,afternoon,2026-04,2026-04-09,BUY,trend_pullback_entry,,,,233.95,234.588,230.85240000000002,1.5515000000000043,0.005307651080339087,33.203125,low_vol,41.16110457430168,trend,bullish,0.0,233.945,233.995,0.9254311910919321,0.8804974892625979
AMD,trend_pullback,2026-04-10 13:15:00-04:00,2026-04-10 13:30:00-04:00,13:00,midday,2026-04,2026-04-10,BUY,trend_pullback_entry,,,,245.51,246.1663333333333,237.9909,1.2227000000000032,0.005948600781808257,57.450980392156865,mid_vol,45.229711293505076,trend,bullish,0.0,245.33,245.38000000000002,0.2486446826723129,0.2058408998288087
AMD,trend_pullback,2026-04-10 14:30:00-04:00,2026-04-10 14:45:00-04:00,14:00,afternoon,2026-04,2026-04-10,BUY,trend_pullback_entry,,,,245.16,245.763,239.3884,1.3974999999999795,0.004875995952847551,25.825242718446603,low_vol,39.757713787293774,trend,bullish,0.0,245.06,245.11,0.3142087652003632,0.27134666068294566
AMD,trend_pullback,2026-04-13 09:30:00-04:00,2026-04-13 09:45:00-04:00,09:00,open_30m,2026-04,2026-04-13,BUY,trend_pullback_entry,,,,243.65,245.29033333333334,240.8969,1.2171999999999628,0.004816618218423661,21.818181818181817,low_vol,31.99322305564567,trend,bullish,0.0,243.07,243.12,0.557452585674916,0.5142059888121139
AMD,trend_pullback,2026-04-13 09:45:00-04:00,2026-04-13 10:00:00-04:00,09:00,open_30m,2026-04,2026-04-13,BUY,trend_pullback_entry,,,,243.41,245.26766666666666,241.12169999999998,1.1525999999999783,0.00495530685320653,24.596774193548388,low_vol,30.98175221411522,trend,bullish,0.0,243.9,243.95000000000002,0.18450184501844552,0.14147202295552005
AMD,trend_pullback,2026-04-13 10:00:00-04:00,2026-04-13 10:15:00-04:00,10:00,open_30m,2026-04,2026-04-13,BUY,trend_pullback_entry,,,,242.97,245.11499999999998,241.30829999999997,1.0587999999999624,0.005153553976330711,31.187122736418512,low_vol,29.35680148179626,trend,bullish,0.0,242.95,243.0,0.6626877958427716,0.6193991769547323
AMD,trend_pullback,2026-04-13 10:15:00-04:00,2026-04-13 10:45:00-04:00,10:00,open_30m,2026-04,2026-04-13,BUY,trend_pullback_entry,,,,243.155,244.9826666666667,241.4684,1.0085000000000264,0.004955118905688596,24.29718875502008,low_vol,27.847918658928652,trend,bullish,0.0,243.49,243.54000000000002,0.4805125467164924,0.4373528783772599
AMD,trend_pullback,2026-04-13 10:45:00-04:00,2026-04-13 11:00:00-04:00,10:00,morning,2026-04,2026-04-13,BUY,trend_pullback_entry,,,,244.425,244.91033333333334,241.6475,0.9586000000000183,0.004961558522966506,25.450901803607213,low_vol,26.071992592204854,trend,bullish,0.0,244.235,244.28500000000003,0.3746391794787774,0.3316267065108263
AMD,trend_pullback,2026-04-13 11:00:00-04:00,2026-04-13 11:15:00-04:00,11:00,morning,2026-04,2026-04-13,BUY,trend_pullback_entry,,,,244.35,244.81300000000002,241.847,0.9501000000000204,0.004956437266710265,25.2,low_vol,24.56945219446621,mixed,bullish,0.0,244.38,244.43,0.1718634912840723,0.12891682690340076
HON,trend_pullback,2026-01-16 13:30:00-05:00,2026-01-16 13:45:00-05:00,13:00,afternoon,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,219.34,219.763,215.87939999999998,0.8141999999999712,0.0035076594704007828,44.642857142857146,mid_vol,41.16519466543502,trend,bearish,0.0,219.365,219.41500000000002,0.16638935108152197,0.11877569901782863
HON,trend_pullback,2026-01-16 14:15:00-05:00,2026-01-16 14:30:00-05:00,14:00,afternoon,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,219.45,219.81,216.3338,0.7712000000000216,0.003276862564638215,32.20338983050848,low_vol,35.73452686490355,trend,bearish,0.0,219.5,219.55,-0.03872437357631342,-0.0862632657709014
HON,trend_pullback,2026-01-16 14:45:00-05:00,2026-01-16 15:00:00-05:00,14:00,afternoon,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,219.38,219.77433333333332,216.5977,0.7183000000000277,0.0031106719534705818,24.59016393442623,low_vol,32.629096048731455,trend,bearish,0.0,219.29,219.34,0.059282229011808775,0.0116773958238241
HON,trend_pullback,2026-01-16 15:30:00-05:00,2026-01-16 15:45:00-05:00,15:00,afternoon,2026-01,2026-01-16,BUY,trend_pullback_entry,,,,219.345,219.68366666666668,217.00240000000002,0.6686000000000263,0.002886883223314834,21.875,low_vol,28.160141823643478,trend,bearish,0.0,219.54,219.59,-1.6124624214266157,-1.659634682817989
HON,trend_pullback,2026-01-20 09:30:00-05:00,2026-01-20 09:45:00-05:00,09:00,open_30m,2026-01,2026-01-20,BUY,trend_pullback_entry,,,,217.82,219.52366666666666,217.2406,0.6428999999999974,0.004055135271410221,78.78787878787878,high_vol,28.187158331271274,trend,bearish,0.0,217.97,218.02,-0.4496031563976647,-0.4973673974864823
HON,trend_pullback,2026-01-20 09:45:00-05:00,2026-01-20 10:00:00-05:00,09:00,open_30m,2026-01,2026-01-20,BUY,trend_pullback_entry,,,,217.49,219.37366666666668,217.3132,0.5818999999999903,0.004063492030057688,79.1044776119403,high_vol,29.16241914094279,trend,bearish,0.0,217.09,217.14000000000001,-0.469851213782307,-0.517796260477121
HON,trend_pullback,2026-01-30 13:15:00-05:00,2026-01-30 13:30:00-05:00,13:00,midday,2026-01,2026-01-30,BUY,trend_pullback_entry,,,,226.38,227.808,225.2988,0.7317000000000178,0.003738070400080201,74.39446366782006,high_vol,22.87390592149216,mixed,bullish,0.0,226.53,226.58,0.3575685339690117,0.3113551063641921
HON,trend_pullback,2026-01-30 13:30:00-05:00,2026-01-30 13:45:00-05:00,13:00,afternoon,2026-01,2026-01-30,BUY,trend_pullback_entry,,,,226.46,227.65333333333334,225.4398,0.726399999999984,0.003655933215330374,69.65517241379311,high_vol,22.40078936594326,mixed,bullish,0.0,226.61,226.66000000000003,0.3044878866775507,0.2583017735815702
HON,trend_pullback,2026-02-03 13:30:00-05:00,2026-02-03 13:45:00-05:00,13:00,afternoon,2026-02,2026-02-03,BUY,trend_pullback_entry,,,,229.76,230.754,228.1929,0.36810000000002674,0.0029273772422172494,44.15204678362573,mid_vol,35.31357376602419,trend,bullish,0.0,229.61,229.66000000000003,-0.14589956883411348,-0.19141043281372278
HON,trend_pullback,2026-02-03 13:45:00-05:00,2026-02-03 14:00:00-05:00,13:00,afternoon,2026-02,2026-02-03,BUY,trend_pullback_entry,,,,229.29,230.6726666666667,228.2319,0.3077000000000112,0.0028811687436477366,42.565597667638485,mid_vol,32.93397261582535,trend,bullish,0.0,229.015,229.065,0.05894810383600172,0.013279505817126846
HON,trend_pullback,2026-02-03 14:00:00-05:00,2026-02-03 14:15:00-05:00,14:00,afternoon,2026-02,2026-02-03,BUY,trend_pullback_entry,,,,229.165,230.57166666666666,228.26919999999998,0.2535999999999774,0.0028420262867375236,41.27906976744186,mid_vol,31.46310694651231,trend,bullish,0.0,229.05,229.10000000000002,0.12224405151713649,0.07656831078130609
HON,trend_pullback,2026-02-03 14:15:00-05:00,2026-02-03 14:30:00-05:00,14:00,afternoon,2026-02,2026-02-03,BUY,trend_pullback_entry,,,,229.12,230.48733333333334,228.3202,0.22180000000000177,0.0028624452570090103,42.608695652173914,mid_vol,29.293250714205186,trend,bullish,0.0,229.25,229.3,0.33151581243183903,0.2858325337985093
HON,trend_pullback,2026-02-03 14:30:00-05:00,2026-02-03 14:45:00-05:00,14:00,afternoon,2026-02,2026-02-03,BUY,trend_pullback_entry,,,,229.275,230.39266666666666,228.3666,0.2131000000000256,0.0027278424053201076,38.4393063583815,mid_vol,27.278384212777148,trend,bullish,0.0,229.235,229.28500000000003,0.40351604248914125,0.3578142050286601
HON,trend_pullback,2026-02-03 14:45:00-05:00,2026-02-03 15:00:00-05:00,14:00,afternoon,2026-02,2026-02-03,BUY,trend_pullback_entry,,,,229.15,230.27866666666665,228.4016,0.20869999999999322,0.002585810566141009,34.5821325648415,mid_vol,25.572765641452502,trend,bullish,0.0,229.44,229.49,0.675557880055793,0.6298358098391987
HON,trend_pullback,2026-02-03 15:00:00-05:00,2026-02-03 15:15:00-05:00,15:00,afternoon,2026-02,2026-02-03,BUY,trend_pullback_entry,,,,229.33,230.17733333333334,228.4334,0.20150000000001,0.0025051237412106577,31.32183908045977,low_vol,23.815253651463426,mixed,bullish,0.0,229.305,229.35500000000002,2.675475894550922,2.629292101763622
HON,trend_pullback,2026-02-04 13:15:00-05:00,2026-02-04 13:30:00-05:00,13:00,midday,2026-02,2026-02-04,BUY,trend_pullback_entry,,,,234.88,235.453,231.463,0.8386999999999887,0.0032963365292250652,57.22070844686648,mid_vol,28.45665215695406,trend,bullish,0.0,234.59,234.64000000000001,-0.44545803316425076,-0.48998158881693143
HON,trend_pullback,2026-02-04 13:30:00-05:00,2026-02-04 13:45:00-05:00,13:00,afternoon,2026-02,2026-02-04,BUY,trend_pullback_entry,,,,233.7,235.41766666666666,231.59,0.805499999999995,0.003436996702670393,61.41304347826087,mid_vol,27.072284596234052,trend,bullish,0.0,233.49,233.54000000000002,0.20557625594243423,0.1607130256058781
HON,trend_pullback,2026-02-04 13:45:00-05:00,2026-02-04 14:00:00-05:00,13:00,afternoon,2026-02,2026-02-04,BUY,trend_pullback_entry,,,,233.395,235.27,231.72330000000002,0.7671000000000276,0.0033257352441700312,57.18157181571816,mid_vol,26.184046019516348,trend,bullish,0.0,233.46,233.51000000000002,0.3405294268825441,0.29563179307094745
HON,trend_pullback,2026-02-04 14:00:00-05:00,2026-02-04 14:15:00-05:00,14:00,afternoon,2026-02,2026-02-04,BUY,trend_pullback_entry,,,,233.72,235.12466666666666,231.8581,0.7197999999999922,0.0032871230853371127,54.5945945945946,mid_vol,25.174727434074963,trend,bullish,0.0,233.67,233.72,0.453631189284034,0.4087479034742273
HON,trend_pullback,2026-02-04 14:15:00-05:00,2026-02-04 14:30:00-05:00,14:00,afternoon,2026-02,2026-02-04,BUY,trend_pullback_entry,,,,233.545,234.98766666666668,231.99200000000002,0.690400000000011,0.00318459987752892,51.21293800539083,mid_vol,24.230571836514095,mixed,bullish,0.0,233.89,233.94,0.39120954294754823,0.3463799264768795
HON,trend_pullback,2026-02-04 14:30:00-05:00,2026-02-04 14:45:00-05:00,14:00,afternoon,2026-02,2026-02-04,BUY,trend_pullback_entry,,,,233.97,234.8756666666667,232.13099999999997,0.667999999999978,0.0031181396635610818,48.38709677419355,mid_vol,23.03864282157727,mixed,bullish,0.0,234.015,234.065,0.31621904578766713,0.27142832119282045
HON,trend_pullback,2026-02-04 14:45:00-05:00,2026-02-04 15:00:00-05:00,14:00,afternoon,2026-02,2026-02-04,BUY,trend_pullback_entry,,,,234.255,234.81866666666667,232.26229999999998,0.6722999999999786,0.003151073092534697,50.402144772117964,mid_vol,21.802605097246104,mixed,bullish,0.0,234.27,234.32000000000002,0.4652751099159105,0.42049914646636355
HON,trend_pullback,2026-02-11 09:45:00-05:00,2026-02-11 10:00:00-05:00,09:00,open_30m,2026-02,2026-02-11,BUY,trend_pullback_entry,,,,242.89,243.761,241.71200000000002,0.4411000000000058,0.0021753055251204473,26.91511387163561,low_vol,40.00167020459281,trend,bullish,0.0,242.945,242.995,-1.2780670522134598,-1.3209571801889068
HON,trend_pullback,2026-02-23 10:15:00-05:00,2026-02-23 10:30:00-05:00,10:00,open_30m,2026-02,2026-02-23,BUY,trend_pullback_entry,,,,242.905,243.76333333333332,242.13099999999997,0.2630999999999517,0.002839317091545358,52.40963855421687,mid_vol,26.58777739814673,trend,bullish,0.0,243.15,243.20000000000002,-0.1974090067859421,-0.24048684210528107
HON,trend_pullback,2026-02-23 10:30:00-05:00,2026-02-23 10:45:00-05:00,10:00,morning,2026-02,2026-02-23,BUY,trend_pullback_entry,,,,242.895,243.77433333333332,242.16279999999998,0.23599999999996157,0.0027116055837130455,45.29058116232465,mid_vol,24.77274548197214,mixed,bullish,0.0,242.935,242.985,-0.03910511042048238,-0.08225186739921354
